ID_Option,Crops,RESEARCH/TECHNOLOGY OPTIONS,BCR,Poverty ,Child Malnutrition
8_Op1,Chickpea,Varieties resistant to Fusarium wilt and root rots,12,-140979,13138
8_Op2,Chickpea,Botrytis gray mold-resistant varieties,9,-108725,10289
8_Op3,Chickpea,Pod borer-tolerant varieties and integrated pest management,5,-76969,7053
8_Op4,Lentil,Herbicide-tolerant varieties to control weeds,8,-13933,5263
8_Op5,Lentil,Heat-tolerant varieties,3,-6832,-546
8_Op6,Lentil,Stemphylium blight-resistant varieties and integrated pest management,5,-14898,-756
8_Op7,Chickpea,Drought-tolerant varieties,0.02,-14499,-884
8_Op8,Lentil,Drought-tolerant varieties,5,-9666,-884
