Options,BCR,Pov Change,Nutrtion
op1,23,-541860,11113845
op2,14,-321258,52989
op3,13,-304013,47725
op4,6,-201361,37148
op5,16,-253917,35801
op6,16,-256301,33492
op7,9,-206046,30719
op8,12,-160632,25329
op9,3,-106836,23925
op10,5,-117061,21131
op11,6,-97067,19408
op12,6,-97067,19408
op13,2,-100912,18428
op14,2,-42844,15950
op15,21,-119839,3809
op16,7,-50131,3747
op17,8,-39523,3086
op18,6,-29041,1689
op19,3,-15486,1215
op20,14,-67239,1126
